Window_Center_s,Delta_Left_Hand_Lateralization,Delta_Right_Hand_Lateralization
2.25,0.02768776899626444,0.04740833578759232
2.35,0.031749248832759785,0.05002008467318396
2.45,0.04354334457918253,0.03265723102472931
2.5500000000000003,0.05155280718901953,0.033294443059840764
2.6500000000000004,0.026991025618117646,0.044601511949788515
2.7500000000000004,0.014054730306285821,0.04271238951865879
2.8500000000000005,0.033070495236813144,0.037504747832972946
2.9500000000000006,0.030702051310279945,0.019686203881941464
3.0500000000000007,0.03366800120453855,0.019746233810041397
3.150000000000001,0.024243442027078968,0.034490660620265734
3.250000000000001,0.026394738110705276,0.03893965131970867
3.350000000000001,0.022555261018943187,0.031223081400278876
3.450000000000001,0.017109445523032802,0.029454104240779162
3.550000000000001,0.015596419485699243,0.021526517288344853
3.6500000000000012,0.013444356880898064,0.010974491660853864
3.7500000000000018,0.01029735443593393,-0.0004809776255275045
