Subject,Trial_Index,Class_ID,Class,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A01,0,1,Left_Hand,-0.8372288047950703,-0.7455265572124409,-0.8729116038503505,-0.8030133434665252,-0.8527989138430208,-0.8015090716794576,0.01557010904795042,0.05598251446701674,0.04041240541906632,0.01557010904795042,0.05598251446701674,0.04041240541906632,-0.02491103202846978,-0.027914278507571
A01,1,2,Right_Hand,1.6549251848743594,1.189555263626274,1.5161154788169282,1.0617795395885643,0.7452725938590936,1.4662016862163196,0.9096525910152657,-0.27664642259004557,-1.1862990136053113,-0.9096525910152657,0.27664642259004557,1.1862990136053113,-0.02491103202846978,-0.027914278507571
A01,2,2,Right_Hand,-0.619134994116968,-0.7288929203857887,-0.705092953212449,-0.7937097853325445,-0.21124659963803966,-0.41572232542054766,-0.4078883944789284,-0.313170594965241,0.09471779951368736,0.4078883944789284,0.313170594965241,-0.09471779951368736,-0.02491103202846978,-0.027914278507571
A01,3,1,Left_Hand,0.12103559792485029,-0.13600469011822414,0.05359000528799257,-0.2915200841893971,-0.41236745204200614,-0.5030967662947308,0.5334030499668564,0.36709207617650663,-0.16631097379034976,0.5334030499668564,0.36709207617650663,-0.16631097379034976,-0.02491103202846978,-0.027914278507571
A01,4,2,Right_Hand,0.11849870760578268,-0.18219531629355923,-0.0578610735615733,-0.44233550787914466,0.04699217983254274,-0.13745625715777118,0.07150652777323994,-0.044739059135788045,-0.11624558690902799,-0.07150652777323994,0.044739059135788045,0.11624558690902799,-0.02491103202846978,-0.027914278507571
A01,5,1,Left_Hand,0.6422105456936761,0.6057355643910003,-0.38622189251263234,-0.34536706858864435,-0.3708268841773412,-0.23433653039284266,1.0130374298710172,0.8400720947838429,-0.17296533508717427,1.0130374298710172,0.8400720947838429,-0.17296533508717427,-0.02491103202846978,-0.027914278507571
A01,6,2,Right_Hand,-0.5176890077139543,-0.45261390170562393,-0.5226713419450852,-0.4771550762962321,-0.6914003616680213,-0.6588417287792838,0.173711353954067,0.2062278270736599,0.03251647311959288,-0.173711353954067,-0.2062278270736599,-0.03251647311959288,-0.02491103202846978,-0.027914278507571
A01,7,3,Feet,-0.1185515321212081,-0.3010909563096077,-0.166944328014966,-0.4047265413941307,0.481263610474993,0.28090636412753683,-0.5998151425962011,-0.5819973204371445,0.017817822159056584,,,,-0.02491103202846978,-0.027914278507571
A01,8,2,Right_Hand,0.14192522216780912,-0.2907642403660729,-0.4744666882537531,-0.7234299190692823,-0.3540418810628871,-0.5901542606394248,0.4959671032306962,0.2993900202733519,-0.19657708295734433,-0.4959671032306962,-0.2993900202733519,0.19657708295734433,-0.02491103202846978,-0.027914278507571
A01,9,4,Tongue,0.8681144952803108,1.130925828434925,0.17079627911629935,0.09163350528255113,0.45853114182174376,0.24383348536631383,0.40958335345856706,0.8870923430686113,0.47750898961004423,,,,-0.02491103202846978,-0.027914278507571
