Subject,Run,Trial,Overall_Central_R2,Overall_Central_R2,Overall_Central_R2,Overall_Central_R2,Theta_Central_R2,Theta_Central_R2,Theta_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Alpha_Mu_Central_R2,Alpha_Mu_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Beta_Central_R2,Beta_Central_R2,Beta_Central_R2,Gamma_Central_R2,Gamma_Central_R2,Gamma_Central_R2,Gamma_Central_R2
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
A01,3,1,0.22144048920946707,0.09186299373040367,0.059595649294269366,0.36110791109405177,0.3213029833535959,0.15562057519837272,0.06805554172270388,0.653013017160908,0.3037052078530655,0.2314743906500996,0.06471027414214094,0.7148379053440254,0.13630422725212635,0.08379612226637509,0.0,0.241411574862596,0.22700803869484582,0.17038565493003172,0.0,0.518721150464342
A01,3,2,0.18560931078598603,0.09880720835406752,0.01822682281499601,0.3414336268010579,0.1251731912793073,0.1373625491473261,0.0,0.3891159732852246,0.34200077861863193,0.183602805711001,0.08093430765233026,0.7392843277353133,0.20336477268593844,0.10967012029948466,0.008546238894271958,0.36676198073883415,0.2576707076661656,0.19371973000524587,0.0,0.7070041194787147
A01,3,3,0.13620772228627812,0.08440976811154031,0.002007736423105747,0.30039726781342196,0.15934345375722317,0.1236721884662185,0.0019073263735104953,0.4162753615073534,0.26091612134405157,0.1510802109516098,0.03921387316291271,0.5256799723175261,0.11937726704000054,0.08436174832502828,0.0,0.24642126820128046,0.12226310750540083,0.1217932318925952,0.0,0.4202562108120245
A01,3,4,0.234516988338157,0.12201375121367274,0.031808146762525205,0.5061792209397263,0.20027126608839044,0.2047735360890247,0.0,0.7329105444449644,0.37742670209011736,0.21323671130661231,0.001119728368278101,0.632427421348494,0.24457803077821386,0.08115679953057353,0.1107584719205993,0.36432095686967625,0.15371574569701488,0.1379915492701118,0.0,0.43335320855711895
A01,3,5,0.1706463327633853,0.1085436656140674,0.0,0.3507449908469925,0.16761720405494626,0.09455647908674593,0.0,0.3064709180242239,0.2909004862329565,0.15899596968758176,0.0030074668604462046,0.5379540093913313,0.10491174645797255,0.08462000196469832,0.0061520207556187145,0.2529586465714783,0.1684641319100683,0.12517224308521208,0.029885233833587908,0.3549180419984121
A01,3,6,0.1845250725847548,0.104368581741658,0.0,0.3953526088845691,0.16920048188424802,0.14149025595985057,0.006758699428737651,0.36896710527439,0.37548187467570254,0.2046434524691186,0.0,0.5961103639790107,0.13896645183655418,0.15155404085256655,0.0,0.48898359575824124,0.10951504881964746,0.09633024173882958,0.0,0.24686328311777345
A01,3,7,0.20851792503531072,0.1102893613165715,0.013319448240765601,0.4148511783985894,0.27519670298447857,0.22351022210813945,0.02545686069456532,0.7714371315843412,0.2846943806511224,0.1503323340711469,0.019728569571689607,0.5177689885993538,0.1864159724118416,0.1159539104367652,0.0029995256003770843,0.38132768764886876,0.12909391371804838,0.10959978023501273,0.0,0.3159773133309076
A01,3,8,0.2062216952785172,0.07254534514468881,0.06739225828499891,0.34261360299491955,0.16449768562987271,0.11670103450863151,0.040834511522587845,0.42305482474704476,0.2942835869912578,0.1193521685168535,0.055999434276920966,0.5377069081166861,0.2339218471336196,0.10891971999365345,0.040568627498993225,0.42734797010943926,0.25696729718161143,0.13433241065927673,0.024552421672623663,0.4627508949719843
A01,3,9,0.13487294126506288,0.07043098946780829,0.0055206503868159605,0.2192321042521718,0.14567352152258234,0.13517444744543045,0.0,0.36986741077131047,0.1968405780867237,0.18449157043795922,0.0,0.5073025166908859,0.1784619617255953,0.1340646823248475,0.0,0.3934621407068822,0.136416360825456,0.10726952775198248,0.0,0.3013100801938369
