Subject,Condition,EEG_Channel_Index,Band,EOG_Left_Beta,EOG_Central_Beta,EOG_Right_Beta,Intercept
A01,All_Clean,0,4-38Hz,0.2566107743033949,0.3947169456215723,0.2488861208644042,0.0077497668565243
A01,All_Clean,1,4-38Hz,0.3701913572813909,0.2664096286111576,0.1528509783646405,0.0012626527219816
A01,All_Clean,2,4-38Hz,0.3139939997307312,0.2888055612424638,0.2114125015306074,0.0037946915059776
A01,All_Clean,3,4-38Hz,0.2751772569134962,0.3000555434481385,0.2668785637873282,8.954292902548987e-05
A01,All_Clean,4,4-38Hz,0.2251551096367159,0.2882330987997733,0.3174904334980129,0.0041697383516103
A01,All_Clean,5,4-38Hz,0.1793170173522952,0.2676963364939579,0.3825375554595311,0.0032102311297155
A01,All_Clean,6,4-38Hz,0.3602266598082072,0.1306772066251731,0.0663621818646341,0.0058287001938309
A01,All_Clean,7,4-38Hz,0.3088634017654276,0.1792415311535151,0.134107382864289,-0.0016130990639446
A01,All_Clean,8,4-38Hz,0.2767375910214411,0.2149393161910342,0.1978667053898823,-0.002675917042756
A01,All_Clean,9,4-38Hz,0.2577628617638773,0.2231474461275985,0.2632338280043954,-0.0080988177229993
A01,All_Clean,10,4-38Hz,0.1998865175064261,0.2203025834038395,0.3100564803909741,-0.0024981236244699
A01,All_Clean,11,4-38Hz,0.1486318099855619,0.1836449253502468,0.3707553231845653,-0.0037171977314503
A01,All_Clean,12,4-38Hz,0.0992741074081437,0.1401996483673441,0.4530095086264942,0.0025779392228342
A01,All_Clean,13,4-38Hz,0.2241428589666007,0.1309130512458312,0.1180285462393141,-0.0022682368053364
A01,All_Clean,14,4-38Hz,0.2131656937144553,0.1564082603774892,0.1855823364307968,-0.006156561818397
A01,All_Clean,15,4-38Hz,0.1984443615841523,0.1602188470748233,0.233437648503105,-0.0131611637144755
A01,All_Clean,16,4-38Hz,0.1592131278699023,0.1536770891162766,0.3019713076917117,-0.0067982232124588
A01,All_Clean,17,4-38Hz,0.1132043964806694,0.1315413437140172,0.3503591968601963,-0.0019981004044114
A01,All_Clean,18,4-38Hz,0.1451740001627766,0.1044752659356842,0.1646202704817129,-0.0068753086470041
A01,All_Clean,19,4-38Hz,0.1407066058557449,0.1124410425011628,0.2195903185442604,-0.0102116501308788
A01,All_Clean,20,4-38Hz,0.1091288591986333,0.1064864333480462,0.2557648980201051,-0.0041484491869172
A01,All_Clean,21,4-38Hz,0.0770539153794576,0.0812409508945001,0.1825773758875772,-0.0044403101250314
A01,Theta_Clean,0,4.0-8.0Hz,0.4761970675904927,0.3155348432904866,0.3762588749414485,0.00518364958308
A01,Theta_Clean,1,4.0-8.0Hz,0.5181671195592593,0.2057358422641335,0.2142768598157927,-0.0039765188193421
A01,Theta_Clean,2,4.0-8.0Hz,0.4815321523594238,0.2134855419867173,0.2966145768956866,-0.00169668296432
A01,Theta_Clean,3,4.0-8.0Hz,0.4649977022416715,0.2152276970747599,0.390455339747928,-0.0034767841828136
A01,Theta_Clean,4,4.0-8.0Hz,0.4148917432378318,0.2102848045745105,0.4415260792778428,0.0002065790253582
A01,Theta_Clean,5,4.0-8.0Hz,0.3606810590496502,0.2017599225119587,0.5134455650150513,0.0004636940082922
A01,Theta_Clean,6,4.0-8.0Hz,0.374288194792895,0.1137802840020967,0.0631326013237579,0.0004701131644844
A01,Theta_Clean,7,4.0-8.0Hz,0.3574965777050561,0.1446710839821356,0.1615399903094164,-0.0076697981464852
A01,Theta_Clean,8,4.0-8.0Hz,0.3595019352973622,0.1604258961694208,0.2499502796619445,-0.0088531726877305
A01,Theta_Clean,9,4.0-8.0Hz,0.3620810242989263,0.1572022473165269,0.3351864515866204,-0.0135796713886647
