Subject,Channel,Band,Window_Start_s,Window_End_s,Window_Center_s,Raw_ERD_ERS_percent,Clean_ERD_ERS_percent,Delta_ERD_ERS_percent,Delta_Accuracy,Delta_F1
A01,C3,Mu,0.0,0.496,0.248,178.3817645410014,201.3221603263848,22.9403957853834,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.096,0.592,0.344,112.78351320352506,120.27126659693349,7.487753393408416,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.192,0.688,0.44,40.29191828900878,43.92564242583057,3.6337241368218,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.288,0.784,0.536,8.828425975548793,10.052604790103848,1.2241788145550552,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.384,0.88,0.632,2.506695114646225,-0.0872925747252269,-2.593987689371453,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.48,0.976,0.728,16.482750103611597,9.606308362678432,-6.876441740933161,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.576,1.072,0.824,48.34710440694143,42.17074735882046,-6.176357048120968,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.672,1.168,0.92,77.6930886596121,71.38794270570865,-6.305145953903452,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.768,1.264,1.016,69.55881015472636,66.60465704522777,-2.954153109498598,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.864,1.36,1.112,63.69717708518005,62.72898038756405,-0.9681966976159934,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,0.96,1.456,1.208,68.17545693578904,66.22036334840182,-1.9550935873872035,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.056,1.552,1.304,54.32140163998133,53.62807648072426,-0.6933251592570651,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.152,1.648,1.4,49.75050650419684,53.39936291022036,3.648856406023524,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.248,1.744,1.496,56.33333745972074,56.43428900904569,0.1009515493249522,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.344,1.84,1.592,68.31751004958488,63.63568934138752,-4.681820708197392,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.44,1.936,1.688,71.16287553289763,67.88471269319903,-3.2781628396985822,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.536,2.032,1.784,65.34481319617038,64.41261180623471,-0.9322013899356726,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.632,2.128,1.88,58.71513998394661,57.40579824486216,-1.3093417390844624,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.728,2.224,1.976,68.60143724291463,72.75830054456448,4.156863301649822,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.824,2.32,2.072,77.50375396539438,93.97243557608824,16.46868161069386,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,1.92,2.416,2.168,92.26731807775248,112.5613130441742,20.29399496642173,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.016,2.512,2.264,114.6442551256918,122.11682334241362,7.472568216721829,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.112,2.608,2.36,111.94438346185444,112.53825765205548,0.593874190201037,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.208,2.704,2.456,89.92947694768544,92.4591090783152,2.529632130629748,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.304,2.8,2.552,56.97238859643559,62.81932231461784,5.846933718182254,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.4,2.896,2.648,46.38482486811203,50.18851540484122,3.8036905367291904,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.496,2.992,2.744,58.49521475667459,61.34289207889877,2.8476773222241767,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.592,3.088,2.84,75.23217249007583,80.80608486993339,5.573912379857546,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.688,3.184,2.936,90.09103894139228,92.49984719261968,2.408808251227401,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.784,3.28,3.032,93.19618881936672,97.32708097264089,4.130892153274158,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.88,3.376,3.128,96.4797583520985,94.79351765220387,-1.686240699894635,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,2.976,3.472,3.224,101.46913936858486,93.04689309085852,-8.422246277726334,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.072,3.568,3.32,84.49718892124112,84.75997773805615,0.2627888168150268,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.168,3.664,3.416,82.33884520046905,92.6635199272526,10.324674726783542,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.264,3.76,3.512,84.71786922068077,96.27675672970445,11.558887509023672,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.36,3.856,3.608,77.26267892390938,79.62460168299177,2.361922759082397,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.456,3.952,3.704,70.24798855385234,67.37020568399836,-2.8777828698539736,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.552,4.048,3.8,66.79309286738925,65.76529446277901,-1.027798404610221,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.648,4.144,3.896,72.66816738407884,69.72941713630549,-2.938750247773336,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.744,4.24,3.992,99.40131466742776,95.63730500072828,-3.764009666699468,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.84,4.336,4.088,110.52909147303092,106.57969552935472,-3.949395943676228,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,3.936,4.432,4.184,93.42995745507352,101.72280450008914,8.292847045015602,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.032,4.528,4.28,95.2620840462886,110.38501242693296,15.122928380644357,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.128,4.624,4.376,114.2201628940698,111.18689467953642,-3.033268214533372,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.224,4.72,4.472,121.56811182035368,120.49031386994248,-1.0777979504111987,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.32,4.816,4.568,113.3433206232846,123.23664116541848,9.893320542133846,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.416,4.912,4.664,102.03180309474752,114.9815368434316,12.94973374868405,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.512,5.008,4.76,98.24026753820156,106.89054445760962,8.650276919408062,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.608,5.104,4.856,100.08926722567688,103.2005359740007,3.111268748323812,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.704,5.2,4.952,96.573237948825,115.7665576176348,19.19331966880978,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.8,5.296,5.048,95.28904728360185,121.49358434256656,26.20453705896473,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.896,5.392,5.144,89.2041446980532,104.47327764937424,15.26913295132104,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,4.992,5.488,5.24,89.41600577589041,93.73136133883484,4.3153555629444185,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.088,5.584,5.336,94.47816663114432,95.93013141866813,1.4519647875238222,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.184,5.68,5.432,90.16725905383804,103.11687961437748,12.949620560539408,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.28,5.776,5.528,77.19764016913652,97.9869827407395,20.78934257160297,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.376,5.872,5.624,75.01753809080105,97.23598165313965,22.21844356233857,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.472,5.968,5.72,75.26829615931791,90.6412437924738,15.372947633155889,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.568,6.064,5.816,66.96708672475408,71.37124667691296,4.40415995215888,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.664,6.16,5.912,60.28586772561223,61.68221838973447,1.396350664122251,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.76,6.256,6.008,54.08171200873311,53.91561423610369,-0.1660977726294038,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.856,6.352,6.104,58.968486845294976,63.31997907612198,4.351492230827002,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,5.952,6.448,6.2,92.49415157642667,102.60793273115392,10.11378115472724,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.048,6.544,6.296,107.96183949993376,113.44965593658264,5.487816436648844,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.144,6.64,6.392,83.85725296945694,82.88249460977335,-0.9747583596835824,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.24,6.736,6.488,69.62853776896335,62.619537418157016,-7.009000350806347,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.336,6.832,6.584,70.37876491548904,58.61736620653392,-11.761398708955127,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.432,6.928,6.68,78.32871936776118,70.30524715228015,-8.023472215481043,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.528,7.024,6.776,77.08952852778236,75.78168768639395,-1.3078408413884253,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.624,7.12,6.872,66.91524953060814,68.54482733775828,1.6295778071501472,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.72,7.216,6.968,64.9766670748528,62.84037857363046,-2.136288501222331,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.816,7.312,7.064,74.81676163997662,64.75296743285728,-10.063794207119344,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,6.912,7.408,7.16,85.05234975301794,71.7719270767776,-13.280422676240336,-0.0249110320284697,-0.027914278507571
A01,C3,Mu,7.008,7.504,7.256,89.81066070386798,77.88471250112786,-11.9259482027401,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.0,0.496,0.248,9.452745140824518,18.524089272999937,9.07134413217542,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.096,0.592,0.344,-5.667529790949631,-3.0959959558647703,2.571533835084861,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.192,0.688,0.44,-10.77691652211082,-13.51566332304038,-2.73874680092956,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.288,0.784,0.536,-12.111375928353764,-13.193670138598812,-1.082294210245052,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.384,0.88,0.632,-6.254028711577685,-4.9817706340992025,1.2722580774784824,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.48,0.976,0.728,1.6203964604730583,3.1223665811360184,1.5019701206629603,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.576,1.072,0.824,6.789171825339235,6.874670053933651,0.0854982285944164,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.672,1.168,0.92,12.115368771512902,12.261979606584202,0.1466108350713039,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.768,1.264,1.016,14.84903568664363,16.544642802637135,1.6956071159935036,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.864,1.36,1.112,11.861633323628588,14.097847851003108,2.236214527374521,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,0.96,1.456,1.208,9.419787896837342,12.594508697550468,3.1747208007131267,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.056,1.552,1.304,9.113070340173488,12.925060310058695,3.81198996988521,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.152,1.648,1.4,8.52395175076218,12.270107453892216,3.746155703130034,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.248,1.744,1.496,5.369843722934763,9.000886355098839,3.631042632164075,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.344,1.84,1.592,3.70015380607498,5.697648132269137,1.997494326194156,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.44,1.936,1.688,4.795585556476404,8.176803833009563,3.38121827653316,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.536,2.032,1.784,0.8003358035610936,6.822652890006752,6.022317086445659,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.632,2.128,1.88,2.159809649967205,7.738219882027926,5.578410232060721,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.728,2.224,1.976,8.464574064580729,11.394877613875504,2.930303549294771,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.824,2.32,2.072,10.563769715590391,15.97429693325099,5.410527217660595,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,1.92,2.416,2.168,9.33184619716287,20.26236214165452,10.930515944491653,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.016,2.512,2.264,7.606460484689735,15.574071457267076,7.967610972577337,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.112,2.608,2.36,3.567645575683565,4.85940168399005,1.2917561083064837,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.208,2.704,2.456,1.5416765105758614,1.901035983855484,0.3593594732796222,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.304,2.8,2.552,5.5239235886294455,5.085555119683923,-0.4383684689455235,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.4,2.896,2.648,10.420375452940675,7.581183546507897,-2.83919190643278,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.496,2.992,2.744,14.969253060782425,10.39138328724197,-4.577869773540455,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.592,3.088,2.84,17.760224907157813,16.18826139289842,-1.571963514259395,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.688,3.184,2.936,18.43946621855204,20.40371393584259,1.9642477172905504,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.784,3.28,3.032,18.266145467568155,19.692434970065207,1.426289502497051,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.88,3.376,3.128,13.807220957893136,16.10383713213628,2.296616174243148,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,2.976,3.472,3.224,13.83348299481178,17.844257158467162,4.010774163655378,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.072,3.568,3.32,19.837382620748254,21.209083300609034,1.3717006798607745,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.168,3.664,3.416,15.900725638682578,14.310323338931408,-1.5904022997511686,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.264,3.76,3.512,7.079683116756557,5.083705065145831,-1.9959780516107264,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.36,3.856,3.608,3.072829135874424,-1.1833403909681042,-4.2561695268425295,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.456,3.952,3.704,5.244165222504944,0.4095316132636478,-4.834633609241294,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.552,4.048,3.8,13.090819171078866,8.991462702241053,-4.099356468837817,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.648,4.144,3.896,14.844433022116837,11.696025188046844,-3.1484078340699946,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.744,4.24,3.992,10.39754233432207,9.594881500259794,-0.8026608340622741,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.84,4.336,4.088,10.053792782570582,9.17590111306922,-0.8778916695013623,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,3.936,4.432,4.184,11.902204148625309,9.856691657231815,-2.045512491393492,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.032,4.528,4.28,14.153632533387498,12.417998449768296,-1.7356340836192043,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.128,4.624,4.376,17.050456062508456,16.810454730834955,-0.2400013316734978,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.224,4.72,4.472,20.522422514074005,18.926290799458176,-1.596131714615832,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.32,4.816,4.568,19.88339425885298,16.64755443037292,-3.235839828480061,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.416,4.912,4.664,15.187299839874784,13.98255518932942,-1.2047446505453616,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.512,5.008,4.76,12.470620369226612,11.161362053428952,-1.3092583157976618,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.608,5.104,4.856,11.297931135300995,8.762510819572066,-2.535420315728933,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.704,5.2,4.952,12.357383401790084,11.803713290750242,-0.5536701110398392,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.8,5.296,5.048,14.769629054466543,16.266929424273535,1.497300369806991,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.896,5.392,5.144,12.847385093946873,16.542466510062773,3.6950814161159,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,4.992,5.488,5.24,10.631477546194064,14.88936203334325,4.257884487149186,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.088,5.584,5.336,13.916532152044075,14.11719356898238,0.2006614169383014,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.184,5.68,5.432,14.019644601455504,11.170924820063098,-2.848719781392408,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.28,5.776,5.528,12.001112864438378,9.674396285346834,-2.3267165790915483,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.376,5.872,5.624,12.394496818882342,10.647181352318947,-1.7473154665633943,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.472,5.968,5.72,9.453029702423953,8.757121206763154,-0.6959084956607978,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.568,6.064,5.816,5.383356464818727,5.464382389456862,0.0810259246381331,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.664,6.16,5.912,4.698703872391242,4.101469664580187,-0.5972342078110546,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.76,6.256,6.008,10.877302272919378,8.568129253404141,-2.309173019515236,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.856,6.352,6.104,18.16459452744351,15.29350032973937,-2.8710941977041418,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,5.952,6.448,6.2,19.275065161103463,16.29870799226608,-2.976357168837387,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,6.048,6.544,6.296,14.733763469882287,12.87133814210399,-1.862425327778294,-0.0249110320284697,-0.027914278507571
