Run,Trial,Onset_pred,True_Class_pred,Subject,Predicted_Class,Correct,Model,Inference_ms,Onset_eog,True_Class_eog,C5_Theta_R2,C3_Theta_R2,C1_Theta_R2,Cz_Theta_R2,C2_Theta_R2,C4_Theta_R2,C6_Theta_R2,Central_Theta_R2,C5_Alpha_Mu_R2,C3_Alpha_Mu_R2,C1_Alpha_Mu_R2,Cz_Alpha_Mu_R2,C2_Alpha_Mu_R2,C4_Alpha_Mu_R2,C6_Alpha_Mu_R2,Central_Alpha_Mu_R2,C5_Beta_R2,C3_Beta_R2,C1_Beta_R2,Cz_Beta_R2,C2_Beta_R2,C4_Beta_R2,C6_Beta_R2,Central_Beta_R2,C5_Gamma_R2,C3_Gamma_R2,C1_Gamma_R2,Cz_Gamma_R2,C2_Gamma_R2,C4_Gamma_R2,C6_Gamma_R2,Central_Gamma_R2,Central_Overall_EOG_R2
3,1,251,1,A01,2,0,EEGNet,26.963472366333008,251,1,44.78456432545094,47.384859313060666,49.60724159302404,48.48048053030246,46.56604560592047,45.56203440385912,49.25953277875219,47.37782265005284,26.081663947786048,25.1719352769059,31.38187359345469,32.596110238933754,41.80485469540408,43.22942290077453,51.59307348396629,35.97984773388933,12.36014652814077,13.436049153774576,15.22357699288367,15.55722065816786,19.47723497025165,21.099885048873013,25.81543648266289,17.567078547822064,23.246061145643782,23.83952809967204,26.91437188347927,24.456909291870765,23.40761520149981,20.46782468019568,22.013187241255384,23.477928220516677,31.10066928807023
3,2,2254,2,A01,2,1,EEGNet,26.963472366333008,2254,2,21.133705586439746,21.806231040184556,23.47083763048453,21.70437394268505,26.084143958930007,29.713777160154777,48.76632845581601,27.525628253527813,37.661815768866845,29.50704402261036,28.52936049849184,29.978720847826835,37.39299704291296,43.01885554211336,49.7773472463628,36.55230585274072,23.457035860764098,22.36386273776142,24.1101529069468,23.26787518752496,25.18292286116104,23.547720836225217,20.87301374894509,23.257512019904087,25.52620588741453,21.480485414393115,28.002503516925906,31.314711011000096,31.30099046715917,24.2432313439763,21.087054591795283,26.136454604666344,28.36797518270974
3,3,4172,2,A01,2,1,EEGNet,26.963472366333008,4172,2,14.43775495397368,22.72697636801673,29.15673602440567,31.855976830602263,29.45363162685973,29.33223131329519,51.52923033116008,29.78464820690191,31.010434720633477,34.14563573711025,49.042906511560005,60.99772426136181,47.67919166118752,24.6335385005619,27.777753331163847,39.32674067479697,8.611251827389331,8.097551455891605,7.169680083962204,8.767630372769354,8.915678619834978,10.718567438655825,14.255394637508534,9.50510777657312,10.313793328389451,6.176354914317095,9.348394813221772,10.902879568805046,17.63973081651905,18.972204432967843,12.547452860996843,12.2715443907453,22.72201026225433
3,4,6124,1,A01,1,1,EEGNet,26.963472366333008,6124,1,12.587301321117128,17.238762225723935,20.262945834044764,20.184019509935634,23.517345136320166,28.241979822828245,38.81968236106139,22.97886231586161,18.47977259245957,23.255470553591064,36.05505501001854,44.71597800617383,50.47681869112069,52.60634597861854,54.48034023586159,40.00996872397769,25.3027577292843,28.289616415874477,29.93644228474596,29.811111349380404,27.88002523857842,28.42011520451123,27.332069800547508,28.138876860417472,8.78468441782002,9.376917861503289,10.930743712087054,12.10067405629628,13.552263077057525,15.087205586557662,16.935793032110013,12.395468820490263,25.88079418018676
3,5,8132,2,A01,2,1,EEGNet,26.963472366333008,8132,2,35.12875094811724,40.281727254090285,49.268806877783966,46.91275419775189,40.88541231991507,33.802119667751505,38.07770264348754,40.62246770127107,24.38139081935069,24.962217323819047,35.89415764950341,45.2227287462804,48.12843704797505,45.33888752559903,53.58068654144863,39.64407223628232,10.385055234702012,12.366912439676936,17.09498604180675,17.464963404669042,16.662642675604044,15.707453701330644,17.358617444878888,15.291518706095472,17.302026699310836,19.125436127338126,18.604760654176637,22.339039262412477,19.806916605064185,21.916296073364197,18.352087926037697,19.635223335386303,28.79832049475879
3,6,10243,1,A01,4,0,EEGNet,26.963472366333008,10243,1,44.18474764056025,43.37785593804476,43.09450271988786,36.47716746946102,37.269289138225794,33.870232946391745,35.697798074908825,39.138799132497184,3.4987326303872246,20.126796991564632,55.187636827109934,61.46127636547132,58.14608052634803,56.50047776679816,62.70084823810915,45.374549906541205,17.175440585526548,17.88429211091446,20.258392982876817,16.066728584377067,11.725032787326995,6.892330417786219,8.480670832676507,14.06898404306923,4.904831489728812,5.327363493252458,4.009705274442244,5.685643890661496,6.309968196334326,9.478797054689649,12.667078899265782,6.911912614053538,26.37356142404029
3,7,12160,2,A01,2,1,EEGNet,26.963472366333008,12160,2,18.9834606893846,16.32459505434447,15.77607873881388,22.968515781771803,27.13631823821372,34.37241608628712,54.85658662009967,27.20256731555932,6.36017608526398,10.512566607580345,27.786587901516945,39.54371980856827,41.088004069707374,34.50942703611559,46.54718274067452,29.478237749918147,12.419254387229929,15.415892462821246,17.51114398362138,20.990685933146302,23.660342495218888,29.79162609513808,38.44153651517186,22.604354553192525,1.4797166531625106,5.438290994556372,4.85682149153398,10.09605274002835,8.83537636224897,15.143866133550354,20.375073723706016,9.460742585540936,22.18647555105273
3,8,14210,3,A01,4,0,EEGNet,26.963472366333008,14210,3,36.692586357483805,26.076799743881374,25.06297497126712,21.295014628284925,25.543145080362677,26.48380295384409,34.85780952397207,28.001733322728008,1.6962372941361603,7.84181773031889,34.33573255361427,47.08557200344921,53.56531776252567,39.47754310377325,41.86029598336295,32.26607377588292,27.84372895649736,31.02309421816972,32.84918729777233,31.72687266785469,29.811682036907904,22.02539254029354,25.118446226290057,28.6283434205408,22.97565592796439,29.19315920611031,34.965189369432814,28.100200944589226,29.733985480363888,24.993257998456464,28.914711596719258,28.4108800748052,29.326757648489227
3,9,16141,2,A01,2,1,EEGNet,26.963472366333008,16141,2,51.51788043606575,52.32394343371543,54.58013889398335,56.48621082167716,51.07425764427301,49.52527207166717,54.10238210114042,52.8014407717889,22.561477176318967,21.336697709112585,19.17344019199297,16.30161326430768,10.475880719592812,13.710718596510771,35.50713039248499,19.866708292902967,9.522228787169684,5.1132327628421015,6.080307504797833,8.189860821555817,9.030765322276867,11.18424169888348,15.483930036034865,9.229223847651522,15.744608966546547,10.961919427839073,6.887593391602742,2.9759807365758006,7.16111035063407,9.615376932380194,19.886625992914265,10.461887971213242,23.08981522088916
3,10,18139,4,A01,4,1,EEGNet,26.963472366333008,18139,4,23.66417365282881,22.5747467925716,17.720120950324958,14.75161291512812,22.486137508797512,28.82995185582193,44.794569981091534,24.974473379509213,6.229724889684352,11.162912598022787,36.59760667048234,44.70668810924623,40.3748496874956,31.64839766025883,34.40936876919811,29.30422119776975,11.343788686065558,17.631997480301177,20.33944470304088,23.362091181753364,23.50467808165873,23.05743710809851,23.93971159878251,20.454164119957248,29.065017415641822,29.154579040483377,34.51094625060406,36.995527226431214,31.21236720870097,29.38375514392392,28.16799901055217,31.21288447090536,26.486435792035397
