Subject,Trial_Index,Class_ID,Class,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A01,0,1,Left_Hand,-0.8372288047950703,-0.7455265572124409,-0.8729116038503505,-0.8030133434665252,-0.8527989138430208,-0.8015090716794576,0.0155701090479504,0.0559825144670167,0.0404124054190663,0.0155701090479504,0.0559825144670167,0.0404124054190663,-0.0249110320284697,-0.027914278507571
A01,1,2,Right_Hand,1.6549251848743594,1.189555263626274,1.5161154788169282,1.0617795395885643,0.7452725938590936,1.4662016862163196,0.9096525910152656,-0.2766464225900455,-1.186299013605311,-0.9096525910152656,0.2766464225900455,1.186299013605311,-0.0249110320284697,-0.027914278507571
A01,2,2,Right_Hand,-0.619134994116968,-0.7288929203857887,-0.705092953212449,-0.7937097853325445,-0.2112465996380396,-0.4157223254205476,-0.4078883944789284,-0.313170594965241,0.0947177995136873,0.4078883944789284,0.313170594965241,-0.0947177995136873,-0.0249110320284697,-0.027914278507571
A01,3,1,Left_Hand,0.1210355979248502,-0.1360046901182241,0.0535900052879925,-0.2915200841893971,-0.4123674520420061,-0.5030967662947308,0.5334030499668564,0.3670920761765066,-0.1663109737903497,0.5334030499668564,0.3670920761765066,-0.1663109737903497,-0.0249110320284697,-0.027914278507571
A01,4,2,Right_Hand,0.1184987076057826,-0.1821953162935592,-0.0578610735615733,-0.4423355078791446,0.0469921798325427,-0.1374562571577711,0.0715065277732399,-0.044739059135788,-0.1162455869090279,-0.0715065277732399,0.044739059135788,0.1162455869090279,-0.0249110320284697,-0.027914278507571
A01,5,1,Left_Hand,0.6422105456936761,0.6057355643910003,-0.3862218925126323,-0.3453670685886443,-0.3708268841773412,-0.2343365303928426,1.0130374298710172,0.8400720947838429,-0.1729653350871742,1.0130374298710172,0.8400720947838429,-0.1729653350871742,-0.0249110320284697,-0.027914278507571
A01,6,2,Right_Hand,-0.5176890077139543,-0.4526139017056239,-0.5226713419450852,-0.4771550762962321,-0.6914003616680213,-0.6588417287792838,0.173711353954067,0.2062278270736599,0.0325164731195928,-0.173711353954067,-0.2062278270736599,-0.0325164731195928,-0.0249110320284697,-0.027914278507571
A01,7,3,Feet,-0.1185515321212081,-0.3010909563096077,-0.166944328014966,-0.4047265413941307,0.481263610474993,0.2809063641275368,-0.5998151425962011,-0.5819973204371445,0.0178178221590565,,,,-0.0249110320284697,-0.027914278507571
A01,8,2,Right_Hand,0.1419252221678091,-0.2907642403660729,-0.4744666882537531,-0.7234299190692823,-0.3540418810628871,-0.5901542606394248,0.4959671032306962,0.2993900202733519,-0.1965770829573443,-0.4959671032306962,-0.2993900202733519,0.1965770829573443,-0.0249110320284697,-0.027914278507571
A01,9,4,Tongue,0.8681144952803108,1.130925828434925,0.1707962791162993,0.0916335052825511,0.4585311418217437,0.2438334853663138,0.409583353458567,0.8870923430686113,0.4775089896100442,,,,-0.0249110320284697,-0.027914278507571
