Window_Center_s,Delta_Left_Hand_Lateralization,Delta_Right_Hand_Lateralization
2.25,0.0276877689962644,0.0474083357875923
2.35,0.0317492488327597,0.0500200846731839
2.45,0.0435433445791825,0.0326572310247293
2.5500000000000003,0.0515528071890195,0.0332944430598407
2.6500000000000004,0.0269910256181176,0.0446015119497885
2.7500000000000004,0.0140547303062858,0.0427123895186587
2.8500000000000005,0.0330704952368131,0.0375047478329729
2.9500000000000006,0.0307020513102799,0.0196862038819414
3.0500000000000007,0.0336680012045385,0.0197462338100413
3.150000000000001,0.0242434420270789,0.0344906606202657
3.250000000000001,0.0263947381107052,0.0389396513197086
3.350000000000001,0.0225552610189431,0.0312230814002788
3.450000000000001,0.0171094455230328,0.0294541042407791
3.550000000000001,0.0155964194856992,0.0215265172883448
3.650000000000001,0.013444356880898,0.0109744916608538
3.7500000000000018,0.0102973544359339,-0.0004809776255275
